cluster_id	KSLabel
0	mua
1	mua
2	mua
3	mua
5	mua
6	mua
7	mua
8	mua
9	mua
10	mua
11	mua
12	mua
13	mua
14	mua
15	mua
16	good
17	mua
18	mua
19	mua
20	mua
21	mua
22	mua
23	mua
24	mua
25	mua
26	mua
27	mua
28	mua
29	mua
30	mua
31	mua
32	mua
33	mua
34	mua
35	mua
36	mua
37	mua
38	mua
39	mua
40	mua
41	mua
42	mua
43	mua
44	mua
45	mua
46	mua
47	mua
48	good
49	mua
50	mua
51	mua
52	mua
53	mua
54	mua
55	mua
56	good
57	good
58	good
59	mua
60	good
61	good
63	good
64	good
65	good
66	good
67	mua
68	mua
69	mua
70	mua
71	mua
72	mua
73	mua
74	mua
75	mua
76	mua
77	mua
78	mua
79	mua
80	good
81	mua
82	mua
83	mua
84	good
85	mua
86	mua
87	good
88	mua
89	mua
90	mua
91	mua
92	mua
93	mua
94	mua
95	mua
96	mua
97	mua
98	good
100	mua
101	mua
102	mua
103	mua
104	mua
105	good
106	mua
107	mua
108	mua
109	mua
110	mua
111	mua
112	mua
113	mua
114	mua
115	mua
116	good
117	mua
118	good
119	good
120	good
121	mua
122	mua
123	mua
124	mua
125	mua
126	mua
127	mua
128	mua
129	mua
130	mua
131	mua
132	mua
133	mua
134	mua
135	good
136	good
137	mua
138	good
140	good
141	good
142	mua
143	good
144	mua
145	mua
146	mua
147	mua
148	good
149	good
152	mua
153	mua
154	good
155	mua
156	good
158	mua
159	good
162	mua
163	good
164	good
165	good
167	mua
168	good
171	good
172	mua
